	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
143	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9820030503304524	0.9712383488681757	0.9886513157894737	0.9558614143331752	0.9332477535301669	0.9691265060240963
151	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9746822572445348	0.9656458055925433	0.9802631578947368	0.9553868058851448	0.9370988446726572	0.9661144578313253
63	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9822064056939501	0.9715046604527297	0.9888157894736842	0.9553868058851448	0.9319640564826701	0.9691265060240963
142	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9781392984239959	0.9653794940079894	0.9860197368421053	0.9549121974371144	0.9306803594351734	0.9691265060240963
75	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9723436705643111	0.9635153129161118	0.977796052631579	0.9549121974371144	0.9358151476251605	0.9661144578313253
79	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9706151499745805	0.9616511318242343	0.9761513157894737	0.9549121974371144	0.9370988446726572	0.9653614457831325
67	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9774275546517539	0.9675099866844208	0.9835526315789473	0.9549121974371144	0.9345314505776636	0.9668674698795181
62	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9782409761057448	0.9651131824234355	0.9863486842105263	0.954437588989084	0.9319640564826701	0.9676204819277109
147	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9772241992882562	0.9672436750998669	0.9833881578947369	0.954437588989084	0.9345314505776636	0.9661144578313253
159	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9705134722928317	0.9619174434087883	0.9758223684210526	0.954437588989084	0.9358151476251605	0.9653614457831325
71	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9742755465175394	0.9656458055925433	0.9796052631578948	0.954437588989084	0.9345314505776636	0.9661144578313253
155	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.97244534824606	0.9635153129161118	0.9779605263157894	0.954437588989084	0.9345314505776636	0.9661144578313253
